Statistical profiling result from isolate-0x3635e50-v8.log, (33435 ticks, 470 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    333    1.0%          /lib/x86_64-linux-gnu/libc-2.27.so
     39    0.1%          [vdso]
     14    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25
      3    0.0%          /lib/x86_64-linux-gnu/libm-2.27.so
      3    0.0%          /home/jevan0307/.nvm/versions/node/v10.8.0/bin/node
      1    0.0%          /lib/x86_64-linux-gnu/ld-2.27.so

 [JavaScript]:
   ticks  total  nonlib   name
   3698   11.1%   11.2%  Builtin: SetPrototypeHas
   1845    5.5%    5.6%  LazyCompile: *handler /webpack-sources-benchmark/node_modules/webpack/lib/optimize/RemoveParentModulesPlugin.js:30:20
    966    2.9%    2.9%  Builtin: SetPrototypeAdd
    674    2.0%    2.0%  Builtin: InterpreterEntryTrampoline
    533    1.6%    1.6%  LazyCompile: *processDependenciesBlocksForChunkGroups /webpack-sources-benchmark/node_modules/webpack/lib/Compilation.js:1473:41
    326    1.0%    1.0%  Builtin: CallFunction_ReceiverIsAny
    303    0.9%    0.9%  LazyCompile: *normalizeString path.js:57:25
    248    0.7%    0.8%  Builtin: FindOrderedHashMapEntry
    227    0.7%    0.7%  Builtin: SetIteratorPrototypeNext
    188    0.6%    0.6%  Builtin: CompileLazy
    161    0.5%    0.5%  Builtin: LoadIC
    146    0.4%    0.4%  Builtin: SetConstructor
    144    0.4%    0.4%  Builtin: Call_ReceiverIsAny
    118    0.4%    0.4%  Builtin: WeakMapLookupHashIndex
     99    0.3%    0.3%  Function: *webpack_sources::utils::split_str::h081c2141334e0a79
     98    0.3%    0.3%  Builtin: StoreIC
     75    0.2%    0.2%  Stub: StringAddStub
     73    0.2%    0.2%  Builtin: RegExpReplace
     66    0.2%    0.2%  Builtin: KeyedStoreIC_Megamorphic
     63    0.2%    0.2%  LazyCompile: ~runLoaders /webpack-sources-benchmark/node_modules/webpack/lib/NormalModule.js:272:4
     63    0.2%    0.2%  Builtin: SetPrototypeDelete
     62    0.2%    0.2%  LazyCompile: *areModulesAvailable /webpack-sources-benchmark/node_modules/webpack/lib/Compilation.js:1785:31
     62    0.2%    0.2%  Function: *memcpy
     59    0.2%    0.2%  Stub: GetPropertyStub
     58    0.2%    0.2%  LazyCompile: *_tickCallback internal/process/next_tick.js:41:25
     58    0.2%    0.2%  Builtin: StringSubstring
     56    0.2%    0.2%  Builtin: ArgumentsAdaptorTrampoline
     55    0.2%    0.2%  Builtin: RecordWrite
     54    0.2%    0.2%  Builtin: KeyedLoadIC
     52    0.2%    0.2%  Builtin: StringEqual
     47    0.1%    0.1%  LazyCompile: *doResolve /webpack-sources-benchmark/node_modules/enhanced-resolve/lib/Resolver.js:189:11
     47    0.1%    0.1%  Builtin: MapPrototypeSet
     46    0.1%    0.1%  LazyCompile: *getCombinations /webpack-sources-benchmark/node_modules/webpack/lib/optimize/SplitChunksPlugin.js:373:30
     45    0.1%    0.1%  LazyCompile: ~doBuild.err /webpack-sources-benchmark/node_modules/webpack/lib/NormalModule.js:412:59
     45    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     42    0.1%    0.1%  LazyCompile: *sourceBlock /webpack-sources-benchmark/node_modules/webpack/lib/JavascriptGenerator.js:35:13
     42    0.1%    0.1%  Function: *dlmalloc::dlmalloc::Dlmalloc::malloc::hac7b868dca7143b0
     41    0.1%    0.1%  LazyCompile: *resolver.getHook.tapAsync /webpack-sources-benchmark/node_modules/enhanced-resolve/lib/AliasPlugin.js:33:57
     39    0.1%    0.1%  LazyCompile: ~DescriptionFileUtils.loadDescriptionFile /webpack-sources-benchmark/node_modules/enhanced-resolve/lib/DescriptionFilePlugin.js:20:98
     37    0.1%    0.1%  Builtin: JSBuiltinsConstructStub
     32    0.1%    0.1%  LazyCompile: *push internal/fixed_queue.js:71:7
     32    0.1%    0.1%  Builtin: ArrayIteratorPrototypeNext
     31    0.1%    0.1%  Builtin: JSConstructStubGenericUnrestrictedReturn
     30    0.1%    0.1%  LazyCompile: ~provider /webpack-sources-benchmark/node_modules/enhanced-resolve/lib/CachedInputFileSystem.js:78:18
