Statistical profiling result from isolate-0x34a2e50-v8.log, (15577 ticks, 196 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    145    0.9%          /lib/x86_64-linux-gnu/libc-2.27.so
     31    0.2%          [vdso]
     11    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25
      3    0.0%          /lib/x86_64-linux-gnu/libm-2.27.so

 [JavaScript]:
   ticks  total  nonlib   name
    397    2.5%    2.6%  Builtin: InterpreterEntryTrampoline
    226    1.5%    1.5%  Builtin: CompileLazy
    186    1.2%    1.2%  Builtin: FindOrderedHashMapEntry
    173    1.1%    1.1%  Builtin: LoadIC
     82    0.5%    0.5%  Builtin: CallFunction_ReceiverIsAny
     81    0.5%    0.5%  Builtin: RegExpReplace
     68    0.4%    0.4%  Builtin: KeyedStoreIC_Megamorphic
     62    0.4%    0.4%  LazyCompile: *resolver.getHook.tapAsync /webpack-sources-benchmark/node_modules/enhanced-resolve/lib/AliasPlugin.js:33:57
     58    0.4%    0.4%  Builtin: ArgumentsAdaptorTrampoline
     57    0.4%    0.4%  LazyCompile: *_tickCallback internal/process/next_tick.js:41:25
     57    0.4%    0.4%  Builtin: MapPrototypeSet
     57    0.4%    0.4%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     55    0.4%    0.4%  Builtin: SetPrototypeAdd
     50    0.3%    0.3%  Stub: StringAddStub
     47    0.3%    0.3%  Builtin: StringEqual
     44    0.3%    0.3%  LazyCompile: *provider /webpack-sources-benchmark/node_modules/enhanced-resolve/lib/CachedInputFileSystem.js:78:18
     44    0.3%    0.3%  Builtin: StoreIC
     43    0.3%    0.3%  Eval: ~<anonymous> :1:20
     41    0.3%    0.3%  LazyCompile: *resolver.getHook.tapAsync /webpack-sources-benchmark/node_modules/enhanced-resolve/lib/SymlinkPlugin.js:19:59
     40    0.3%    0.3%  LazyCompile: *doResolve /webpack-sources-benchmark/node_modules/enhanced-resolve/lib/Resolver.js:189:11
     38    0.2%    0.2%  LazyCompile: *normalizeString path.js:57:25
     37    0.2%    0.2%  Builtin: Call_ReceiverIsAny
     31    0.2%    0.2%  LazyCompile: *Parser /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:447:29
     31    0.2%    0.2%  Builtin: JSConstructStubGenericUnrestrictedReturn
     30    0.2%    0.2%  Builtin: StringIndexOf
     30    0.2%    0.2%  Builtin: KeyedLoadIC
     30    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     28    0.2%    0.2%  LazyCompile: *sourceBlock /webpack-sources-benchmark/node_modules/webpack/lib/JavascriptGenerator.js:35:13
     26    0.2%    0.2%  Function: *webpack_sources::utils::split_str::h081c2141334e0a79
     25    0.2%    0.2%  Builtin: SetConstructor
