Statistical profiling result from isolate-0x3dbee50-v8.log, (18921 ticks, 378 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    690    3.6%          /lib/x86_64-linux-gnu/libc-2.27.so
     13    0.1%          [vdso]
      5    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25
      1    0.0%          /lib/x86_64-linux-gnu/libm-2.27.so

 [JavaScript]:
   ticks  total  nonlib   name
   3925   20.7%   21.6%  Function: *memcpy
    422    2.2%    2.3%  Function: *regex::re_bytes::Regex::find_at::hbb6969463f968761
    340    1.8%    1.9%  Function: *<linked_hash_map::LinkedHashMap<K, V, S>>::entry::hc86810ce1ce04e9c
    328    1.7%    1.8%  Function: *webpack_sources::source_map::source_node::SourceNode::add::h3e37016c22b1575d
    309    1.6%    1.7%  Function: *webpack_sources::source_map::source_node::SourceNode::walk::hc872b6713cbf3d2c
    245    1.3%    1.3%  Function: *<webpack_sources::source_map_source::SourceMapSource as webpack_sources::source::SourceTrait>::node::h15d8e41f94d5b229
    237    1.3%    1.3%  Function: *webpack_sources::source_map::source_map_generator::SourceMapGenerator::add_mapping::ha768cbc19c0c1d83
    226    1.2%    1.2%  Builtin: FindOrderedHashMapEntry
    205    1.1%    1.1%  LazyCompile: *pp$8.next /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:4567:21
    197    1.0%    1.1%  Builtin: LoadIC
    179    0.9%    1.0%  Function: *<std::collections::hash::map::DefaultHasher as core::hash::Hasher>::finish::hcfd52d6812fe41ae
    166    0.9%    0.9%  LazyCompile: *pp$3.parseSubscripts /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:2058:32
    162    0.9%    0.9%  Function: *dlmalloc::dlmalloc::Dlmalloc::free::he4474040c8e68d09
    157    0.8%    0.9%  Function: *webpack_sources::source_map::source_map_generator::SourceMapGenerator::from_source_map::h2c7973e4bc7d9b99
    155    0.8%    0.9%  Builtin: InterpreterEntryTrampoline
    153    0.8%    0.8%  Function: *dlmalloc::dlmalloc::Dlmalloc::malloc::hac7b868dca7143b0
    151    0.8%    0.8%  LazyCompile: *pp$8.readWord /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:5246:25
    142    0.8%    0.8%  Function: *vlq::encode::hb04419e7c9eacc89
    134    0.7%    0.7%  LazyCompile: *walkCallExpression /webpack-sources-benchmark/node_modules/webpack/lib/Parser.js:1736:20
    127    0.7%    0.7%  Builtin: RegExpPrototypeTest
    124    0.7%    0.7%  Builtin: StoreIC
    123    0.7%    0.7%  Function: *<std::collections::hash::map::DefaultHasher as core::hash::Hasher>::write::h6329d8f63107e467
    118    0.6%    0.6%  Function: *webpack_sources::source_map::source_node::SourceNode::add_mapping_with_code::h236175a64d8bcb13
    115    0.6%    0.6%  LazyCompile: *pp$8.getTokenFromCode /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:4834:33
    109    0.6%    0.6%  LazyCompile: *walkExpression /webpack-sources-benchmark/node_modules/webpack/lib/Parser.js:1425:16
    108    0.6%    0.6%  Function: *std::collections::hash::table::calculate_layout::h19c43c785be949ff
    105    0.6%    0.6%  Function: *vlq::decode::he55c808580c9ea9e
    102    0.5%    0.6%  Builtin: CallFunction_ReceiverIsAny
    101    0.5%    0.6%  LazyCompile: *pp$1.parseVar /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:1161:25
     95    0.5%    0.5%  LazyCompile: *hooks.evaluate.for.tap.expression /webpack-sources-benchmark/node_modules/webpack/lib/Parser.js:521:61
     92    0.5%    0.5%  Function: *webpack_sources::source_map::source_map_generator::SourceMapGenerator::to_source_map::h114540ca68761de4
     91    0.5%    0.5%  Function: *<linked_hash_map::LinkedHashMap<K, V, S>>::get::hfa963b86b37dcb45
     89    0.5%    0.5%  Stub: StringAddStub
     78    0.4%    0.4%  Function: *<alloc::vec::Vec<T> as core::ops::drop::Drop>::drop::h160ecbf2b8003742
     77    0.4%    0.4%  Function: *<alloc::raw_vec::RawVec<T, A>>::reserve::h03a408282c01282d
     75    0.4%    0.4%  LazyCompile: *pp$3.parseExprAtom /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:2106:30
     70    0.4%    0.4%  Function: *webpack_sources::utils::split_string_slice::h2bbbf714383e590e
     66    0.3%    0.4%  LazyCompile: *prewalkStatements /webpack-sources-benchmark/node_modules/webpack/lib/Parser.js:796:19
     64    0.3%    0.4%  Builtin: StringSubstring
     63    0.3%    0.3%  Function: *<webpack_sources::original_source::OriginalSource as webpack_sources::source::SourceTrait>::node::h51a30206ddac7535
     57    0.3%    0.3%  Function: *<alloc::raw_vec::RawVec<T, A>>::reserve::h914bf4a13538e177
     57    0.3%    0.3%  Builtin: StringEqual
     55    0.3%    0.3%  LazyCompile: *pp$1.parseStatement /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:757:31
     52    0.3%    0.3%  LazyCompile: *prewalkVariableDeclaration /webpack-sources-benchmark/node_modules/webpack/lib/Parser.js:1276:28
     49    0.3%    0.3%  Function: *<linked_hash_map::Entry<'a, K, V, S>>::or_insert::hd68697fc96e07275
     48    0.3%    0.3%  Builtin: ArgumentsAdaptorTrampoline
     46    0.2%    0.3%  LazyCompile: *pp$3.parseMaybeUnary /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:2003:32
     43    0.2%    0.2%  Function: *webpack_sources::replace_source::split_sourcenode::hdd15f32603894b77
     43    0.2%    0.2%  Builtin: RegExpReplace
     41    0.2%    0.2%  Builtin: KeyedStoreIC_Megamorphic
     40    0.2%    0.2%  LazyCompile: *walkVariableDeclaration /webpack-sources-benchmark/node_modules/webpack/lib/Parser.js:1302:25
     40    0.2%    0.2%  LazyCompile: *pp$3.parseLiteral /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:2200:29
     40    0.2%    0.2%  Function: *webpack_sources::source_map::source_node::SourceNode::new::hf9b1183a07d59f2d
     40    0.2%    0.2%  Builtin: Call_ReceiverIsAny
     38    0.2%    0.2%  LazyCompile: *ast.body.some.statement /webpack-sources-benchmark/node_modules/webpack/lib/dependencies/HarmonyDetectionParserPlugin.js:16:19
     38    0.2%    0.2%  Function: *<webpack_sources::types::string_slice::Split as core::iter::iterator::Iterator>::next::h1cdfa9a313d5dda0
     37    0.2%    0.2%  LazyCompile: *parseStatement /webpack-sources-benchmark/node_modules/acorn-dynamic-import/lib/inject.js:33:34
     36    0.2%    0.2%  LazyCompile: *finishNodeAt /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:2872:22
     35    0.2%    0.2%  LazyCompile: *pp$3.parseExprList /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:2644:30
     35    0.2%    0.2%  LazyCompile: *pp$2.checkLVal /webpack-sources-benchmark/node_modules/acorn/dist/acorn.js:1737:26
     32    0.2%    0.2%  Function: *regex::dfa::Fsm::next_state::hd1ca16c81234b4ed
     31    0.2%    0.2%  Function: *core::str::<impl str>::trim::h79713d01e8a86dd3
     31    0.2%    0.2%  Builtin: GrowFastSmiOrObjectElements
